year,avg_temp_c,rain_mm,max_temp_c,max_temp_c_1
2001,4.72,0.0,8.0,1.72
2001,4.06,0.0,9.72,0.61
2001,16.94,6.1,19.11,14.61
2001,16.61,29.97,19.22,14.0
2001,0.06,4.06,1.0,-0.22
2001,2.44,4.06,6.61,-0.72
2001,17.11,2.54,22.28,13.28
2001,5.06,0.0,9.22,-0.72
2001,6.94,0.0,10.0,3.78
2001,28.06,0.0,35.0,20.89
2001,14.56,0.0,20.11,10.78
2001,2.39,0.51,7.0,0.0
2001,6.11,0.0,11.78,2.0
2001,3.56,1.78,4.89,2.72
2001,16.28,0.0,23.0,10.0
2001,5.39,2.03,8.39,3.0
2001,18.17,0.76,23.78,12.0
2001,17.56,7.87,23.28,12.39
2001,-0.22,0.0,1.39,-2.28
2001,23.22,,29.39,17.0
2001,21.06,0.0,26.0,16.5
2001,-0.5,0.0,1.61,-2.28
2001,19.22,0.0,26.0,11.78
2001,3.72,2.54,9.22,-1.11
2001,14.56,0.0,20.61,9.28
2001,13.89,10.92,15.61,12.78
2001,-0.83,1.52,8.89,-3.39
2001,4.39,7.87,6.39,2.78
2001,-1.61,0.0,-1.0,-2.39
2001,10.83,0.0,14.0,6.72
2001,2.22,0.0,6.0,-0.39
2001,-5.39,0.0,-1.89,-8.5
2001,1.17,4.06,3.0,-0.61
2001,9.11,0.0,10.5,7.0
2001,26.89,0.0,31.28,18.61
2001,16.11,7.87,20.11,12.78
2001,10.72,6.1,14.61,8.0
2001,15.56,0.0,21.28,9.0
2001,-0.17,0.0,4.0,-3.0
2001,23.06,4.06,26.72,16.0
2001,17.61,0.0,23.72,10.61
2001,9.67,27.18,15.89,6.72
2001,16.67,,22.0,10.5
2001,24.06,0.76,32.28,19.22
2001,14.0,0.76,18.61,9.39
2001,12.28,0.0,16.22,9.22
2001,3.44,0.0,5.0,2.11
2001,12.28,0.0,18.78,4.28
2001,24.33,0.0,31.22,17.39
2001,17.22,4.06,22.28,12.89
2001,19.22,0.0,25.61,11.39
2001,16.5,0.0,25.28,7.78
2001,17.33,0.0,23.72,9.28
2001,20.11,0.0,25.39,13.22
2001,15.44,5.33,18.22,13.5
2001,4.44,0.76,10.89,-0.39
2001,7.28,,9.11,4.61
2001,22.22,0.0,27.39,14.78
2001,-2.89,1.78,-1.0,-4.5
2001,23.72,2.03,31.28,17.11
2001,20.33,0.0,25.61,13.39
2001,3.22,0.0,9.0,-0.5
2001,9.61,3.81,13.22,3.78
2001,21.0,0.0,27.61,11.89
2001,24.72,0.0,30.5,18.39
2001,23.61,0.0,29.0,18.61
2001,17.89,0.0,25.11,11.0
2001,12.22,0.0,17.11,7.22
2001,10.61,0.0,17.0,4.89
2001,-6.67,0.0,-2.39,-12.89
2001,24.44,0.0,29.72,17.28
2001,11.44,0.0,16.61,8.61
2001,12.22,0.76,19.0,6.89
2001,19.22,0.76,26.22,14.11
2001,4.0,0.0,9.22,-1.0
2001,13.17,0.76,20.61,6.39
2001,15.28,0.0,18.78,10.78
2001,12.5,8.89,18.0,8.78
2001,12.78,0.0,17.28,7.28
2001,3.22,0.0,6.61,0.0
2001,14.72,0.76,21.0,10.39
2001,7.89,0.0,15.0,0.39
2001,15.89,0.0,23.0,10.5
2001,26.39,,36.0,17.39
2001,10.28,1.02,13.0,7.22
2001,24.83,0.0,31.5,17.5
2001,13.11,0.0,20.22,6.0
2001,4.11,0.76,5.28,2.39
2001,-10.17,0.0,-4.39,-14.28
2001,4.61,1.02,8.22,1.5
2001,17.06,0.0,22.78,12.5
2001,1.89,4.06,7.11,-1.61
2001,20.0,0.0,26.11,12.5
2001,19.83,0.0,25.39,12.78
2001,6.39,0.0,11.89,1.89
2001,8.0,0.0,13.0,3.72
2001,13.72,10.16,18.28,11.5
2001,6.06,0.0,11.39,2.72
2001,11.67,0.0,13.22,10.22
2001,2.28,11.94,5.72,0.0
2001,18.5,5.84,26.5,14.0
2001,3.89,0.76,7.28,0.0
2001,11.06,0.0,16.61,5.11
2001,10.89,0.0,15.0,8.39
2001,-3.06,0.0,0.11,-5.22
2001,18.94,0.0,25.72,11.61
2001,16.17,0.0,21.39,10.89
2001,9.56,0.51,16.0,3.89
2001,17.61,12.95,23.11,13.89
2001,-2.61,,3.0,-11.22
2001,14.22,0.25,15.72,12.5
2001,19.22,0.0,25.78,14.28
2001,13.5,0.0,19.0,9.0
2001,7.28,6.35,10.89,5.28
2001,-5.44,0.0,-1.0,-11.0
2001,13.61,0.0,18.22,10.89
2001,13.33,0.0,18.39,7.28
